0,1,2,3,4,5,6,7,8,9
100.0,0.4210702425331478,0.0004593116066906322,0.00019970069856114445,5377.76765869488,1256.7069681206253,1658.5297779273433,6.7946970231271795,3.441380455205854,0.0
200.0,0.5662625329790318,0.000719269857111555,0.00031836534659036045,10542.764863864519,2154.83964243974,2695.541939947966,7.871832331622276,3.2378304105858766,0.0
300.0,0.5435749293043429,0.0008868124276468665,0.00045371798623793173,26931.404226941057,2368.9994654741818,4061.4761521702285,6.290042393470698,2.869559141828503,0.0
400.0,0.46921152002817396,0.0007039742600088183,0.0003352258380994373,17451.256287665106,2688.477991241574,3175.601964238802,6.013389118771197,2.517098857239349,0.0
500.0,0.46255038028966494,0.0006654475798998448,0.0002911333162061821,9499.748812666163,3170.3166195279255,2956.8979138726136,6.011091229609311,2.8122068718188027,0.0
600.0,0.36759162791199573,0.000488414999587426,0.0001989838887208032,13924.26271333918,4492.845853571865,4138.342012938548,5.284601825571818,2.51773632766508,0.0
700.0,0.33507990915995983,0.00044153795056269495,0.00013798060955084218,11311.105162091553,2854.877720332518,4315.484140966285,5.330321545166267,2.8106761012418526,0.0
800.0,0.3681027303602229,0.0005772978877816297,0.00031085270880549295,17088.412313723937,2999.021958330646,5810.204088762754,4.599805627176238,3.0147958196306583,0.0
900.0,0.28241727364304875,0.00021285176504438476,5.321294126109619e-05,0.0,825.0208003856242,0.0,4.300135085229957,2.73400330963141,0.0
100.0,0.4002839510407884,0.001170533888721812,0.0004123804852735874,2560.7095653004944,1136.7383144970654,1039.1056716402586,4.1586491062761795,2.5754510847954784,1.0
200.0,0.6324449249284764,0.0014541941634850922,0.0006709017941035108,5097.835603889544,1173.0934527802108,1184.2839651955574,5.371778455619595,2.507970603427545,1.0
300.0,0.49851165577256373,0.0013712343200484834,0.0006433789260923094,5655.787041301839,1570.2166678444755,1541.4885965594217,4.383319757119239,2.0421200497424334,1.0
400.0,0.4202328837931356,0.0010039841955802866,0.0004650476240715265,7848.018549263477,2694.884893889312,2476.935407041369,4.201362241071695,2.225110158924576,1.0
500.0,0.4100852572652982,0.0008968648248037976,0.0003933107828495067,8416.186892547179,2307.560719586016,2605.5106111821106,3.974636927242797,2.3882799837947264,1.0
600.0,0.37152029019583444,0.0006423761471435906,0.00017023682768255098,7796.314945534803,3176.8226433470845,3269.3554134939877,4.023365725719249,1.9591375488407832,1.0
700.0,0.3126791527531684,0.0002602252148345848,9.652841238548024e-05,,,1233.8281861950327,4.60701166549532,2.108941935852759,1.0
800.0,0.4359584856289882,0.00035647729716548065,7.921717714788459e-05,,,1517.029725938104,5.063997780049288,2.6850810368795766,1.0
900.0,0.45104526662155936,0.0001718938340026603,0.0,,,0.0,5.620610763200027,3.344198001610629,1.0
100.0,0.3888676803038704,0.0007263760307824068,0.0002405575944704458,1984.2333625033498,1249.7114765483957,587.9309058049707,4.563255881886596,2.59045074963557,2.0
200.0,0.7608185238034146,0.001473657556012121,0.0007619996806411555,3764.842730821809,1229.2056057928967,1100.6457932917438,6.354839173814849,3.17476497660168,2.0
300.0,0.6770034684176028,0.0012175051667822217,0.0005760238567344314,6588.921890212689,1849.7713337443224,1659.5993921973045,6.30561047049096,2.993311052035991,2.0
